"Notes","Five-Year Age Groups","Five-Year Age Groups Code","State","State Code",Deaths,Population,Crude Rate
,"40-44 years","40-44","Massachusetts","25",3054,1046091,291.9
,"40-44 years","40-44","Michigan","26",5566,1472028,378.1
,"40-44 years","40-44","Minnesota","27",2328,931827,249.8
,"40-44 years","40-44","Mississippi","28",2622,440865,594.7
,"40-44 years","40-44","Missouri","29",4069,945299,430.4
,"40-44 years","40-44","Montana","30",636,174241,365.0
,"40-44 years","40-44","Nebraska","31",803,311930,257.4
,"40-44 years","40-44","Nevada","32",1909,526644,362.5
,"40-44 years","40-44","New Hampshire","33",612,202048,302.9
,"40-44 years","40-44","New Jersey","34",4232,1467104,288.5
,"40-44 years","40-44","New Mexico","35",2093,321419,651.2
,"40-44 years","40-44","New York","36",8970,2973298,301.7
,"40-44 years","40-44","North Carolina","37",6509,1614675,403.1
,"40-44 years","40-44","North Dakota","38",395,121861,324.1
,"40-44 years","40-44","Ohio","39",7418,1762582,420.9
,"40-44 years","40-44","Oklahoma","40",2887,629728,458.5
,"40-44 years","40-44","Oregon","41",2246,723192,310.6
,"40-44 years","40-44","Pennsylvania","42",6659,1914831,347.8
,"40-44 years","40-44","Rhode Island","44",506,160050,316.2
,"40-44 years","40-44","South Carolina","45",3662,768737,476.4
,"40-44 years","40-44","South Dakota","46",504,138898,362.9
,"40-44 years","40-44","Tennessee","47",5774,1067212,541.0
,"40-44 years","40-44","Texas","48",15978,5029168,317.7
,"40-44 years","40-44","Utah","49",1514,585170,258.7
,"40-44 years","40-44","Vermont","50",330,92373,357.2
,"40-44 years","40-44","Virginia","51",4178,1395602,299.4
,"40-44 years","40-44","Washington","53",3747,1311575,285.7
,"40-44 years","40-44","West Virginia","54",1837,274474,669.3
,"40-44 years","40-44","Wisconsin","55",2667,917735,290.6
,"40-44 years","40-44","Wyoming","56",364,96209,378.3
,"45-49 years","45-49","Alabama","01",5129,730139,702.5
,"45-49 years","45-49","Alaska","02",507,109045,464.9
,"45-49 years","45-49","Arizona","04",5508,1064289,517.5
,"45-49 years","45-49","Arkansas","05",2773,441047,628.7
,"45-49 years","45-49","California","06",23249,6114562,380.2
,"45-49 years","45-49","Colorado","08",3639,924500,393.6
,"45-49 years","45-49","Connecticut","09",1993,523665,380.6
,"45-49 years","45-49","Delaware","10",719,132549,542.4
,"45-49 years","45-49","District of Columbia","11",469,93166,503.4
,"45-49 years","45-49","Florida","12",15103,3268780,462.0
,"45-49 years","45-49","Georgia","13",8509,1671288,509.1
,"45-49 years","45-49","Hawaii","15",859,208955,411.1
,"45-49 years","45-49","Idaho","16",1055,276334,381.8
,"45-49 years","45-49","Illinois","17",8557,1933546,442.6
,"45-49 years","45-49","Indiana","18",5488,1010096,543.3
,"45-49 years","45-49","Iowa","19",1867,450437,414.5
,"45-49 years","45-49","Kansas","20",1850,412887,448.1
,"45-49 years","45-49","Kentucky","21",4585,683154,671.2
,"45-49 years","45-49","Louisiana","22",4564,644418,708.2
,"45-49 years","45-49","Maine","23",967,196841,491.3
,"45-49 years","45-49","Maryland","24",4005,908035,441.1
,"45-49 years","45-49","Massachusetts","25",3520,1009746,348.6
,"45-49 years","45-49","Michigan","26",7119,1442526,493.5
,"45-49 years","45-49","Minnesota","27",2794,824392,338.9
,"45-49 years","45-49","Mississippi","28",3127,421563,741.8
,"45-49 years","45-49","Missouri","29",4774,877273,544.2
,"45-49 years","45-49","Montana","30",726,153587,472.7
,"45-49 years","45-49","Nebraska","31",1074,278032,386.3
,"45-49 years","45-49","Nevada","32",2549,494100,515.9
,"45-49 years","45-49","New Hampshire","33",817,201841,404.8
,"45-49 years","45-49","New Jersey","34",5453,1429767,381.4
,"45-49 years","45-49","New Mexico","35",2236,289830,771.5
,"45-49 years","45-49","New York","36",10997,2841846,387.0
,"45-49 years","45-49","North Carolina","37",8148,1617357,503.8
,"45-49 years","45-49","North Dakota","38",504,102325,492.5
,"45-49 years","45-49","Ohio","39",9161,1702318,538.1
,"45-49 years","45-49","Oklahoma","40",3612,573747,629.5
,"45-49 years","45-49","Oregon","41",2698,661814,407.7
,"45-49 years","45-49","Pennsylvania","42",8300,1847262,449.3
,"45-49 years","45-49","Rhode Island","44",604,151258,399.3
,"45-49 years","45-49","South Carolina","45",4695,749826,626.1
,"45-49 years","45-49","South Dakota","46",589,121833,483.4
,"45-49 years","45-49","Tennessee","47",7267,1050181,692.0
,"45-49 years","45-49","Texas","48",20832,4643990,448.6
,"45-49 years","45-49","Utah","49",1647,488484,337.2
,"45-49 years","45-49","Vermont","50",381,90988,418.7
,"45-49 years","45-49","Virginia","51",5315,1320258,402.6
,"45-49 years","45-49","Washington","53",4348,1170133,371.6
,"45-49 years","45-49","West Virginia","54",2209,277150,797.0
,"45-49 years","45-49","Wisconsin","55",3363,849066,396.1
,"45-49 years","45-49","Wyoming","56",401,85134,471.0
,"50-54 years","50-54","Alabama","01",7249,770506,940.8
,"50-54 years","50-54","Alaska","02",812,111539,728.0
,"50-54 years","50-54","Arizona","04",7806,1066700,731.8
,"50-54 years","50-54","Arkansas","05",4156,450394,922.7
,"50-54 years","50-54","California","06",34354,6191169,554.9
,"50-54 years","50-54","Colorado","08",5027,894333,562.1
,"50-54 years","50-54","Connecticut","09",3290,593666,554.2
,"50-54 years","50-54","Delaware","10",1119,148261,754.8
,"50-54 years","50-54","District of Columbia","11",679,88625,766.1
,"50-54 years","50-54","Florida","12",22969,3442968,667.1
,"50-54 years","50-54","Georgia","13",12484,1729249,721.9
,"50-54 years","50-54","Hawaii","15",1298,213238,608.7
,"50-54 years","50-54","Idaho","16",1452,268095,541.6
,"50-54 years","50-54","Illinois","17",12614,1984039,635.8
,"50-54 years","50-54","Indiana","18",7852,1040561,754.6
,"50-54 years","50-54","Iowa","19",2918,467317,624.4
,"50-54 years","50-54","Kansas","20",2689,414182,649.2
,"50-54 years","50-54","Kentucky","21",6906,706680,977.2
,"50-54 years","50-54","Louisiana","22",6349,663850,956.4
,"50-54 years","50-54","Maine","23",1540,223022,690.5
,"50-54 years","50-54","Maryland","24",6101,977996,623.8
,"50-54 years","50-54","Massachusetts","25",5897,1112652,530.0
,"50-54 years","50-54","Michigan","26",11124,1588102,700.5
,"50-54 years","50-54","Minnesota","27",4352,863069,504.2
,"50-54 years","50-54","Mississippi","28",4591,436820,1051.0
,"50-54 years","50-54","Missouri","29",7140,915198,780.2
,"50-54 years","50-54","Montana","30",1057,154909,682.3
,"50-54 years","50-54","Nebraska","31",1567,276334,567.1
,"50-54 years","50-54","Nevada","32",3629,511843,709.0
,"50-54 years","50-54","New Hampshire","33",1309,237094,552.1
,"50-54 years","50-54","New Jersey","34",8548,1517933,563.1
,"50-54 years","50-54","New Mexico","35",2830,291749,970.0
,"50-54 years","50-54","New York","36",17766,3085415,575.8
,"50-54 years","50-54","North Carolina","37",12381,1695473,730.2
,"50-54 years","50-54","North Dakota","38",623,101940,611.1
,"50-54 years","50-54","Ohio","39",13759,1828997,752.3
,"50-54 years","50-54","Oklahoma","40",5275,570434,924.7
,"50-54 years","50-54","Oregon","41",3990,649216,614.6
,"50-54 years","50-54","Pennsylvania","42",13292,2038024,652.2
,"50-54 years","50-54","Rhode Island","44",976,170531,572.3
,"50-54 years","50-54","South Carolina","45",6753,795454,848.9
,"50-54 years","50-54","South Dakota","46",805,123830,650.1
,"50-54 years","50-54","Tennessee","47",10169,1098312,925.9
,"50-54 years","50-54","Texas","48",29527,4435644,665.7
,"50-54 years","50-54","Utah","49",2045,419891,487.0
,"50-54 years","50-54","Vermont","50",625,101000,618.8
,"50-54 years","50-54","Virginia","51",8086,1365341,592.2
,"50-54 years","50-54","Washington","53",6729,1184324,568.2
,"50-54 years","50-54","West Virginia","54",3069,291062,1054.4
,"50-54 years","50-54","Wisconsin","55",5409,919851,588.0
,"50-54 years","50-54","Wyoming","56",550,83164,661.3
,"55-59 years","55-59","Alabama","01",11190,799080,1400.4
,"55-59 years","55-59","Alaska","02",1173,117271,1000.2
,"55-59 years","55-59","Arizona","04",11569,1067870,1083.4
,"55-59 years","55-59","Arkansas","05",6468,468025,1382.0
,"55-59 years","55-59","California","06",51298,6044863,848.6
,"55-59 years","55-59","Colorado","08",7210,861064,837.3
,"55-59 years","55-59","Connecticut","09",5098,636876,800.5
,"55-59 years","55-59","Delaware","10",1758,164405,1069.3
,"55-59 years","55-59","District of Columbia","11",1210,85482,1415.5
,"55-59 years","55-59","Florida","12",36460,3614018,1008.8
,"55-59 years","55-59","Georgia","13",18711,1677591,1115.3
,"55-59 years","55-59","Hawaii","15",1963,218278,899.3
,"55-59 years","55-59","Idaho","16",2238,270396,827.7
,"55-59 years","55-59","Illinois","17",19459,2020657,963.0
,"55-59 years","55-59","Indiana","18",12050,1067685,1128.6
,"55-59 years","55-59","Iowa","19",4699,498227,943.1
,"55-59 years","55-59","Kansas","20",4501,439636,1023.8
,"55-59 years","55-59","Kentucky","21",10179,728246,1397.7
,"55-59 years","55-59","Louisiana","22",9892,706256,1400.6
,"55-59 years","55-59","Maine","23",2561,249195,1027.7
,"55-59 years","55-59","Maryland","24",9568,1020577,937.5
,"55-59 years","55-59","Massachusetts","25",9076,1178976,769.8
,"55-59 years","55-59","Michigan","26",17577,1680871,1045.7
,"55-59 years","55-59","Minnesota","27",7014,929591,754.5
,"55-59 years","55-59","Mississippi","28",7006,454358,1542.0
,"55-59 years","55-59","Missouri","29",11764,987222,1191.6
,"55-59 years","55-59","Montana","30",1632,170893,955.0
,"55-59 years","55-59","Nebraska","31",2616,292829,893.4
,"55-59 years","55-59","Nevada","32",5442,500501,1087.3
,"55-59 years","55-59","New Hampshire","33",2098,264138,794.3
,"55-59 years","55-59","New Jersey","34",12987,1563717,830.5
,"55-59 years","55-59","New Mexico","35",4111,314249,1308.2
,"55-59 years","55-59","New York","36",27593,3226106,855.3
,"55-59 years","55-59","North Carolina","37",18610,1683186,1105.6
,"55-59 years","55-59","North Dakota","38",1069,111635,957.6
,"55-59 years","55-59","Ohio","39",21884,1902334,1150.4
,"55-59 years","55-59","Oklahoma","40",8280,587662,1409.0
,"55-59 years","55-59","Oregon","41",6107,631283,967.4
,"55-59 years","55-59","Pennsylvania","42",21307,2163772,984.7
,"55-59 years","55-59","Rhode Island","44",1598,184434,866.4
,"55-59 years","55-59","South Carolina","45",10413,827161,1258.9
,"55-59 years","55-59","South Dakota","46",1305,139591,934.9
,"55-59 years","55-59","Tennessee","47",15302,1109343,1379.4
,"55-59 years","55-59","Texas","48",43629,4206027,1037.3
,"55-59 years","55-59","Utah","49",2892,385725,749.8
,"55-59 years","55-59","Vermont","50",988,111563,885.6
,"55-59 years","55-59","Virginia","51",12994,1394861,931.6
,"55-59 years","55-59","Washington","53",9815,1171862,837.6
,"55-59 years","55-59","West Virginia","54",4595,296597,1549.2
,"55-59 years","55-59","Wisconsin","55",8505,1010045,842.0
,"55-59 years","55-59","Wyoming","56",894,88560,1009.5
,"60-64 years ","60-64","Alabama","01",16080,785081,2048.2
,"60-64 years ","60-64","Alaska","02",1635,115652,1413.7
,"60-64 years ","60-64","Arizona","04",16034,1061798,1510.1
,"60-64 years ","60-64","Arkansas","05",9387,460645,2037.8
,"60-64 years ","60-64","California","06",70401,5625149,1251.5
,"60-64 years ","60-64","Colorado","08",10245,854621,1198.8
,"60-64 years ","60-64","Connecticut","09",7055,610192,1156.2
,"60-64 years ","60-64","Delaware","10",2426,169131,1434.4
,"60-64 years ","60-64","District of Columbia","11",1582,76243,2074.9
,"60-64 years ","60-64","Florida","12",51622,3513320,1469.3
,"60-64 years ","60-64","Georgia","13",25952,1520868,1706.4
,"60-64 years ","60-64","Hawaii","15",2767,221729,1247.9
,"60-64 years ","60-64","Idaho","16",3382,280650,1205.1
,"60-64 years ","60-64","Illinois","17",28076,1963357,1430.0
,"60-64 years ","60-64","Indiana","18",17721,1051800,1684.8
,"60-64 years ","60-64","Iowa","19",7248,514078,1409.9
,"60-64 years ","60-64","Kansas","20",6738,448706,1501.7
,"60-64 years ","60-64","Kentucky","21",14373,708780,2027.9
,"60-64 years ","60-64","Louisiana","22",14000,705662,1984.0
,"60-64 years ","60-64","Maine","23",3700,260811,1418.7
,"60-64 years ","60-64","Maryland","24",12810,951289,1346.6
,"60-64 years ","60-64","Massachusetts","25",12382,1124101,1101.5
,"60-64 years ","60-64","Michigan","26",25765,1691354,1523.3
,"60-64 years ","60-64","Minnesota","27",10207,931261,1096.0
,"60-64 years ","60-64","Mississippi","28",10092,447983,2252.8
,"60-64 years ","60-64","Missouri","29",17089,997730,1712.8
,"60-64 years ","60-64","Montana","30",2595,189626,1368.5
,"60-64 years ","60-64","Nebraska","31",3791,299180,1267.1
,"60-64 years ","60-64","Nevada","32",7312,474620,1540.6
,"60-64 years ","60-64","New Hampshire","33",3008,267997,1122.4
,"60-64 years ","60-64","New Jersey","34",17375,1470409,1181.6
,"60-64 years ","60-64","New Mexico","35",5452,326514,1669.8
,"60-64 years ","60-64","New York","36",38249,3094571,1236.0
,"60-64 years ","60-64","North Carolina","37",25522,1602699,1592.4
,"60-64 years ","60-64","North Dakota","38",1529,119066,1284.2
,"60-64 years ","60-64","Ohio","39",32294,1927219,1675.7
,"60-64 years ","60-64","Oklahoma","40",11934,588947,2026.3
,"60-64 years ","60-64","Oregon","41",9041,644324,1403.2
,"60-64 years ","60-64","Pennsylvania","42",31181,2189289,1424.3
,"60-64 years ","60-64","Rhode Island","44",2130,179919,1183.9
,"60-64 years ","60-64","South Carolina","45",14795,821544,1800.9
,"60-64 years ","60-64","South Dakota","46",1852,150901,1227.3
,"60-64 years ","60-64","Tennessee","47",20851,1066274,1955.5
,"60-64 years ","60-64","Texas","48",60765,3902780,1557.0
,"60-64 years ","60-64","Utah","49",4095,376202,1088.5
,"60-64 years ","60-64","Vermont","50",1446,118696,1218.2
,"60-64 years ","60-64","Virginia","51",18231,1309448,1392.3
,"60-64 years ","60-64","Washington","53",14677,1161770,1263.3
,"60-64 years ","60-64","West Virginia","54",6480,306315,2115.5
,"60-64 years ","60-64","Wisconsin","55",12773,1022140,1249.6
,"60-64 years ","60-64","Wyoming","56",1430,100488,1423.1
,"65-69 years","65-69","Alabama","01",18717,676489,2766.8
,"65-69 years","65-69","Alaska","02",1900,96969,1959.4
,"65-69 years","65-69","Arizona","04",19579,965332,2028.2
,"65-69 years","65-69","Arkansas","05",10844,400517,2707.5
,"65-69 years","65-69","California","06",81092,4637809,1748.5
,"65-69 years","65-69","Colorado","08",12197,739013,1650.4
,"65-69 years","65-69","Connecticut","09",7885,496826,1587.1
,"65-69 years","65-69","Delaware","10",2876,155556,1848.9
,"65-69 years","65-69","District of Columbia","11",1754,61883,2834.4
,"65-69 years","65-69","Florida","12",61720,3148052,1960.6
,"65-69 years","65-69","Georgia","13",29041,1243162,2336.1
,"65-69 years","65-69","Hawaii","15",3392,205999,1646.6
,"65-69 years","65-69","Idaho","16",4337,258703,1676.4
,"65-69 years","65-69","Illinois","17",32851,1641779,2000.9
,"65-69 years","65-69","Indiana","18",20919,897282,2331.4
,"65-69 years","65-69","Iowa","19",8765,452275,1938.0
,"65-69 years","65-69","Kansas","20",8276,391853,2112.0
,"65-69 years","65-69","Kentucky","21",16198,612349,2645.2
,"65-69 years","65-69","Louisiana","22",16004,608121,2631.7
,"65-69 years","65-69","Maine","23",4195,237321,1767.6
,"65-69 years","65-69","Maryland","24",14565,763150,1908.5
,"65-69 years","65-69","Massachusetts","25",14931,932576,1601.0
,"65-69 years","65-69","Michigan","26",31214,1466282,2128.8
,"65-69 years","65-69","Minnesota","27",12430,783774,1585.9
,"65-69 years","65-69","Mississippi","28",11660,385539,3024.3
,"65-69 years","65-69","Missouri","29",19729,843058,2340.2
,"65-69 years","65-69","Montana","30",3209,180653,1776.3
,"65-69 years","65-69","Nebraska","31",4774,257917,1851.0
,"65-69 years","65-69","Nevada","32",9493,413927,2293.4
,"65-69 years","65-69","New Hampshire","33",3727,223912,1664.5
,"65-69 years","65-69","New Jersey","34",20209,1176851,1717.2
,"65-69 years","65-69","New Mexico","35",6260,297630,2103.3
,"65-69 years","65-69","New York","36",44927,2579029,1742.0
,"65-69 years","65-69","North Carolina","37",30025,1383018,2171.0
,"65-69 years","65-69","North Dakota","38",1915,103915,1842.9
,"65-69 years","65-69","Ohio","39",38306,1662160,2304.6
,"65-69 years","65-69","Oklahoma","40",13858,505779,2739.9
,"65-69 years","65-69","Oregon","41",11664,618748,1885.1
,"65-69 years","65-69","Pennsylvania","42",38096,1906478,1998.2
,"65-69 years","65-69","Rhode Island","44",2648,152647,1734.7
,"65-69 years","65-69","South Carolina","45",17388,741653,2344.5
,"65-69 years","65-69","South Dakota","46",2335,138207,1689.5
,"65-69 years","65-69","Tennessee","47",23930,921152,2597.8
,"65-69 years","65-69","Texas","48",69907,3169799,2205.4
,"65-69 years","65-69","Utah","49",5082,324967,1563.9
,"65-69 years","65-69","Vermont","50",1775,108049,1642.8
,"65-69 years","65-69","Virginia","51",21351,1089705,1959.3
,"65-69 years","65-69","Washington","53",17823,1019420,1748.3
,"65-69 years","65-69","West Virginia","54",7850,286622,2738.8
,"65-69 years","65-69","Wisconsin","55",15572,880300,1768.9
,"65-69 years","65-69","Wyoming","56",1815,93291,1945.5
,"70-74 years","70-74","Alabama","01",20908,546649,3824.8
,"70-74 years","70-74","Alaska","02",1887,71238,2648.9
,"70-74 years","70-74","Arizona","04",23635,860608,2746.3
,"70-74 years","70-74","Arkansas","05",12567,329838,3810.1
,"70-74 years","70-74","California","06",89806,3632011,2472.6
,"70-74 years","70-74","Colorado","08",13626,583083,2336.9
,"70-74 years","70-74","Connecticut","09",8919,380854,2341.8
,"70-74 years","70-74","Delaware","10",3410,128799,2647.5
,"70-74 years","70-74","District of Columbia","11",1579,48160,3278.7
,"70-74 years","70-74","Florida","12",73001,2808922,2598.9
,"70-74 years","70-74","Georgia","13",32507,988127,3289.8
,"70-74 years","70-74","Hawaii","15",4054,178518,2270.9
,"70-74 years","70-74","Idaho","16",5376,212255,2532.8
,"70-74 years","70-74","Illinois","17",36197,1266433,2858.2
,"70-74 years","70-74","Indiana","18",23094,694096,3327.2
,"70-74 years","70-74","Iowa","19",10331,351187,2941.7
,"70-74 years","70-74","Kansas","20",9479,303297,3125.3
,"70-74 years","70-74","Kentucky","21",18267,490195,3726.5
,"70-74 years","70-74","Louisiana","22",16860,471640,3574.8
,"70-74 years","70-74","Maine","23",5330,195567,2725.4
,"70-74 years","70-74","Maryland","24",16237,597226,2718.7
,"70-74 years","70-74","Massachusetts","25",17434,735085,2371.7
,"70-74 years","70-74","Michigan","26",34330,1145766,2996.2
,"70-74 years","70-74","Minnesota","27",14416,599161,2406.0
,"70-74 years","70-74","Mississippi","28",12565,308592,4071.7
,"70-74 years","70-74","Missouri","29",21601,662608,3260.0
,"70-74 years","70-74","Montana","30",3932,148984,2639.2
,"70-74 years","70-74","Nebraska","31",5540,201406,2750.7
,"70-74 years","70-74","Nevada","32",11177,348494,3207.2
,"70-74 years","70-74","New Hampshire","33",4321,175261,2465.5
,"70-74 years","70-74","New Jersey","34",22743,907325,2506.6
,"70-74 years","70-74","New Mexico","35",7194,256456,2805.2
,"70-74 years","70-74","New York","36",50941,2029179,2510.4
,"70-74 years","70-74","North Carolina","37",34860,1133686,3074.9
,"70-74 years","70-74","North Dakota","38",2064,78045,2644.6
,"70-74 years","70-74","Ohio","39",42369,1301584,3255.2
,"70-74 years","70-74","Oklahoma","40",15087,397949,3791.2
,"70-74 years","70-74","Oregon","41",13721,522728,2624.9
,"70-74 years","70-74","Pennsylvania","42",43596,1497605,2911.0
,"70-74 years","70-74","Rhode Island","44",3170,118841,2667.4
,"70-74 years","70-74","South Carolina","45",20074,632847,3172.0
,"70-74 years","70-74","South Dakota","46",2812,104730,2685.0
,"70-74 years","70-74","Tennessee","47",26939,746771,3607.4
,"70-74 years","70-74","Texas","48",76073,2436406,3122.3
,"70-74 years","70-74","Utah","49",5892,251011,2347.3
,"70-74 years","70-74","Vermont","50",2075,88114,2354.9
,"70-74 years","70-74","Virginia","51",24447,877836,2784.9
,"70-74 years","70-74","Washington","53",20624,815288,2529.7
,"70-74 years","70-74","West Virginia","54",9144,245482,3724.9
,"70-74 years","70-74","Wisconsin","55",18255,682618,2674.3
,"70-74 years","70-74","Wyoming","56",2013,71898,2799.8
,"75-79 years","75-79","Alabama","01",20571,366489,5613.0
,"75-79 years","75-79","Alaska","02",1759,41769,4211.3
,"75-79 years","75-79","Arizona","04",25813,631560,4087.2
,"75-79 years","75-79","Arkansas","05",12721,228379,5570.1
,"75-79 years","75-79","California","06",93567,2446301,3824.8
,"75-79 years","75-79","Colorado","08",13899,366598,3791.3
,"75-79 years","75-79","Connecticut","09",10219,268787,3801.9
,"75-79 years","75-79","Delaware","10",3743,87197,4292.6
,"75-79 years","75-79","District of Columbia","11",1326,31873,4160.3
,"75-79 years","75-79","Florida","12",81539,2126788,3833.9
,"75-79 years","75-79","Georgia","13",32433,656640,4939.2
,"75-79 years","75-79","Hawaii","15",4004,121423,3297.6
,"75-79 years","75-79","Idaho","16",6060,141265,4289.8
,"75-79 years","75-79","Illinois","17",37439,837901,4468.2
,"75-79 years","75-79","Indiana","18",23592,451101,5229.9
,"75-79 years","75-79","Iowa","19",10640,228153,4663.5
,"75-79 years","75-79","Kansas","20",9693,197435,4909.5
,"75-79 years","75-79","Kentucky","21",18339,317046,5784.3
,"75-79 years","75-79","Louisiana","22",16449,305491,5384.4
,"75-79 years","75-79","Maine","23",5575,129241,4313.6
,"75-79 years","75-79","Maryland","24",16922,402565,4203.5
,"75-79 years","75-79","Massachusetts","25",19467,490186,3971.3
,"75-79 years","75-79","Michigan","26",35560,754511,4713.0
,"75-79 years","75-79","Minnesota","27",15734,391302,4020.9
,"75-79 years","75-79","Mississippi","28",12049,201633,5975.7
,"75-79 years","75-79","Missouri","29",22488,450029,4997.0
,"75-79 years","75-79","Montana","30",4214,96171,4381.8
,"75-79 years","75-79","Nebraska","31",5987,129922,4608.1
,"75-79 years","75-79","Nevada","32",11446,242317,4723.6
,"75-79 years","75-79","New Hampshire","33",4632,113680,4074.6
,"75-79 years","75-79","New Jersey","34",25146,622283,4040.9
,"75-79 years","75-79","New Mexico","35",7183,171792,4181.2
,"75-79 years","75-79","New York","36",53581,1356704,3949.4
,"75-79 years","75-79","North Carolina","37",36081,761960,4735.3
,"75-79 years","75-79","North Dakota","38",2213,50103,4416.9
,"75-79 years","75-79","Ohio","39",42357,836389,5064.3
,"75-79 years","75-79","Oklahoma","40",15484,271614,5700.7
,"75-79 years","75-79","Oregon","41",14643,344998,4244.4
,"75-79 years","75-79","Pennsylvania","42",46194,992288,4655.3
,"75-79 years","75-79","Rhode Island","44",3277,79200,4137.6
,"75-79 years","75-79","South Carolina","45",20766,429146,4838.9
,"75-79 years","75-79","South Dakota","46",2817,62217,4527.7
,"75-79 years","75-79","Tennessee","47",27227,502943,5413.5
,"75-79 years","75-79","Texas","48",76828,1603092,4792.5
,"75-79 years","75-79","Utah","49",6625,166381,3981.8
,"75-79 years","75-79","Vermont","50",2215,57639,3842.9
,"75-79 years","75-79","Virginia","51",26379,597661,4413.7
,"75-79 years","75-79","Washington","53",21721,537404,4041.8
,"75-79 years","75-79","West Virginia","54",9008,159818,5636.4
,"75-79 years","75-79","Wisconsin","55",18931,437984,4322.3
,"75-79 years","75-79","Wyoming","56",2019,44933,4493.4
,"80-84 years","80-84","Alabama","01",18800,214188,8777.3
,"80-84 years","80-84","Alaska","02",1484,20799,7135.0
,"80-84 years","80-84","Arizona","04",25091,388056,6465.8
,"80-84 years","80-84","Arkansas","05",11803,137435,8588.1
,"80-84 years","80-84","California","06",95213,1505073,6326.1
,"80-84 years","80-84","Colorado","08",14035,204495,6863.2
,"80-84 years","80-84","Connecticut","09",10615,160588,6610.1
,"80-84 years","80-84","Delaware","10",3562,49806,7151.7
,"80-84 years","80-84","District of Columbia","11",1238,19774,6260.7
,"80-84 years","80-84","Florida","12",82389,1357603,6068.7
,"80-84 years","80-84","Georgia","13",29428,367644,8004.5
,"80-84 years","80-84","Hawaii","15",3769,69051,5458.3
,"80-84 years","80-84","Idaho","16",6089,81509,7470.3
,"80-84 years","80-84","Illinois","17",37459,509288,7355.2
,"80-84 years","80-84","Indiana","18",22620,268673,8419.2
,"80-84 years","80-84","Iowa","19",11189,144651,7735.2
,"80-84 years","80-84","Kansas","20",9741,120425,8088.9
,"80-84 years","80-84","Kentucky","21",16661,184717,9019.7
,"80-84 years","80-84","Louisiana","22",15090,178514,8453.1
,"80-84 years","80-84","Maine","23",5546,72845,7613.4
,"80-84 years","80-84","Maryland","24",16695,239033,6984.4
,"80-84 years","80-84","Massachusetts","25",19763,286768,6891.6
,"80-84 years","80-84","Michigan","26",34570,444793,7772.2
,"80-84 years","80-84","Minnesota","27",16819,242513,6935.3
,"80-84 years","80-84","Mississippi","28",10942,117807,9288.1
,"80-84 years","80-84","Missouri","29",22209,271542,8178.8
,"80-84 years","80-84","Montana","30",4058,55896,7259.9
,"80-84 years","80-84","Nebraska","31",6089,79946,7616.4
,"80-84 years","80-84","Nevada","32",10389,138334,7510.1
,"80-84 years","80-84","New Hampshire","33",4649,63330,7340.9
,"80-84 years","80-84","New Jersey","34",25790,378278,6817.7
,"80-84 years","80-84","New Mexico","35",7004,102140,6857.3
,"80-84 years","80-84","New York","36",54871,839555,6535.7
,"80-84 years","80-84","North Carolina","37",33482,430133,7784.1
,"80-84 years","80-84","North Dakota","38",2231,31421,7100.3
,"80-84 years","80-84","Ohio","39",42455,506308,8385.2
,"80-84 years","80-84","Oklahoma","40",14595,163908,8904.4
,"80-84 years","80-84","Oregon","41",14153,195048,7256.2
,"80-84 years","80-84","Pennsylvania","42",46826,605879,7728.6
,"80-84 years","80-84","Rhode Island","44",3304,46282,7138.8
,"80-84 years","80-84","South Carolina","45",18456,234256,7878.6
,"80-84 years","80-84","South Dakota","46",2949,36942,7982.8
,"80-84 years","80-84","Tennessee","47",25060,285947,8763.9
,"80-84 years","80-84","Texas","48",71800,928047,7736.7
,"80-84 years","80-84","Utah","49",7112,100183,7099.0
,"80-84 years","80-84","Vermont","50",2205,32276,6831.7
,"80-84 years","80-84","Virginia","51",25581,348609,7338.0
,"80-84 years","80-84","Washington","53",20979,303880,6903.7
,"80-84 years","80-84","West Virginia","54",8325,94451,8814.1
,"80-84 years","80-84","Wisconsin","55",19884,262692,7569.3
,"80-84 years","80-84","Wyoming","56",1928,25723,7495.2
,"85-89 years","85-89","Alabama","01",14970,Not Applicable,Not Applicable
,"85-89 years","85-89","Alaska","02",1125,Not Applicable,Not Applicable
,"85-89 years","85-89","Arizona","04",21410,Not Applicable,Not Applicable
,"85-89 years","85-89","Arkansas","05",9484,Not Applicable,Not Applicable
,"85-89 years","85-89","California","06",92906,Not Applicable,Not Applicable
,"85-89 years","85-89","Colorado","08",13090,Not Applicable,Not Applicable
,"85-89 years","85-89","Connecticut","09",10826,Not Applicable,Not Applicable
,"85-89 years","85-89","Delaware","10",3137,Not Applicable,Not Applicable
,"85-89 years","85-89","District of Columbia","11",1066,Not Applicable,Not Applicable
,"85-89 years","85-89","Florida","12",74363,Not Applicable,Not Applicable
,"85-89 years","85-89","Georgia","13",23557,Not Applicable,Not Applicable
,"85-89 years","85-89","Hawaii","15",3745,Not Applicable,Not Applicable
,"85-89 years","85-89","Idaho","16",5299,Not Applicable,Not Applicable
,"85-89 years","85-89","Illinois","17",34698,Not Applicable,Not Applicable
,"85-89 years","85-89","Indiana","18",19732,Not Applicable,Not Applicable
,"85-89 years","85-89","Iowa","19",10791,Not Applicable,Not Applicable
,"85-89 years","85-89","Kansas","20",9208,Not Applicable,Not Applicable
